"ID_Ligne","ID_Famille","Cycle","Niveau","Discipline","Notion (normalisée)","Formulation originale","Attendu / Compétence","Vocabulaire associé","Notion(s) antérieure(s)","Notion(s) postérieure(s)","Source (référence BO)","Niveau_maitrise","Fiabilite_source","Cycle_scolaire_normalise","Remarques"
"M056","FAM05","STI2D","Tle STI2D, spé SIN","2I2D — « Simuler » (SIN1)","Simulation du comportement informationnel","Simulation d'un comportement informationnel (constituants matériels et/ou traitements logiciels d'une chaîne d'information)","Simuler un comportement informationnel simple d'une chaîne d'information.","chaîne d'information, simulation informationnelle","M042","M057","Annexe 1 de l'arrêté STI2D (programme ETT/2I2D, applicable rentrée 2019/2020) (code SIN1)","","officiel-integral","STI2D",""
"M057","FAM05","STI2D","Tle STI2D, spé SIN","2I2D — « Expérimenter » (SIN1/SIN2)","Chaîne d'information et architecture associée","Moyens matériels d'acquisition, de traitement, de stockage et de restitution de l'information ; architectures matérielles et logicielles","Concevoir une chaîne d'information et y répondre par une architecture matérielle/logicielle adaptée.","acquisition, restitution de l'information","M056 ; M042","M071","Annexe 1 de l'arrêté STI2D (programme ETT/2I2D, applicable rentrée 2019/2020) (codes SIN1/SIN2)","","officiel-integral","STI2D",""
"M058","FAM06","STI2D","Tle STI2D, spé SIN","2I2D — « Constituants de l'information » (§5.3, transversal)","Cartes microcontrôleur et IHM","Capteurs analogiques/numériques, amplificateurs, filtres passe-bas, CAN, cartes à microcontrôleur, nano-ordinateurs, objets connectés","Se limiter à caractériser les capteurs par leurs relations d'entrée/sortie ; privilégier les circuits spécialisés.","capteur, microcontrôleur, CAN, IHM","M043","","Annexe 1 de l'arrêté STI2D (programme ETT/2I2D, applicable rentrée 2019/2020) (§5.3, transversal)","","officiel-integral","STI2D",""
"M059","FAM15","STI2D","Tle STI2D, spé SIN","2I2D — « Composants de transmission de l'information » (§5.3.4, transversal)","Réseaux et bus de communication (approfondi)","Constituants d'un réseau (commutateurs, routeurs, serveurs), bus de communication, émetteurs/récepteurs sans fil","Aborder les bus de terrain (KNX, EnOcean, CAN, I²C, SPI) et les technologies WiFi/Bluetooth/RF.","routeur, bus de terrain, WiFi, Bluetooth","M044","M069","Annexe 1 de l'arrêté STI2D (programme ETT/2I2D, applicable rentrée 2019/2020) (§5.3.4, transversal)","","officiel-integral","STI2D",""
"M060","FAM13","Voie professionnelle","CAP Électricien(ne)","Référentiel des activités professionnelles (RAP)","Champ d'intervention sur les installations électriques","Champ d'intervention sur les installations électriques : production, transport, distribution, transformation et maîtrise de l'énergie électrique","Le titulaire « met en œuvre et intervient sur » les installations électriques et les réseaux de communication.","production, transport, distribution, transformation de l'énergie électrique, réseaux de communication (cuivre, fibre optique, sans fil)","","M064","Arrêté du 8-2-2018, modifié le 28-8-2025 — RAP (référentiel des activités professionnelles) ; citation : « intervient sur les installations électriques et sur les réseaux de communication »","","officiel-accompagnement","CAP","Fiabilité : RAP officiel consulté partiellement, pas en texte intégral (extraction phase 1, point de vigilance 2 ; synthèse #14)."
"M061","FAM04","Voie professionnelle","CAP Électricien(ne)","Bloc de compétences — « Réalisation d'une installation »","Circuits électriques et chaîne de l'énergie","Circuits électriques : composants, types de circuits ; chaîne de l'énergie (source support de cours identifié, pas le référentiel officiel lui-même)","Lire un schéma électrique, définir et identifier les composants d'un circuit.","circuit électrique, chaîne de l'énergie, alimentation → action","M011","M063","Supports de formation (CFA/organismes), à recouper avec le référentiel officiel RAP/RC — arrêté du 8-2-2018 modifié 28-8-2025 ; citation : « La chaine de l'énergie : de l'alimentation à l'action »","","secondaire","CAP",""
"M062","FAM02","Voie professionnelle","CAP Électricien(ne)","Savoirs associés","Courant électrique et ses effets","Courant électrique et ses effets (thermique, magnétique, chimique)","Formation aux phénomènes du courant alternatif, appareillages courants faibles/forts.","courant électrique, effet thermique/magnétique/chimique, courants faibles/forts","M009","M072","Supports de formation (CFA/organismes), à recouper avec le référentiel officiel RAP/RC — arrêté du 8-2-2018 modifié 28-8-2025 ; citation : « les notions de courants électriques et ses effets (thermiques, radiants, chimiques et magnétiques »","","secondaire","CAP",""
"M063","FAM04","Voie professionnelle","CAP Électricien(ne)","Savoirs associés","Électronique de puissance, moteurs et transformateurs","Électronique de puissance, moteurs à courant alternatif, transformateurs","Formation aux appareillages et machines de conversion d'énergie électrique.","moteur à courant alternatif, transformateur, électronique de puissance","M061","M066","Supports de formation (CFA/organismes), à recouper avec le référentiel officiel RAP/RC — arrêté du 8-2-2018 modifié 28-8-2025","","secondaire","CAP",""
"M064","FAM13","Voie professionnelle","Bac Pro MELEC (2de/1ère/Tle)","Référentiel des activités professionnelles (RAP)","Champ d'intervention RAP","Champ d'intervention : production, stockage, transport, distribution, transformation, maîtrise de l'énergie électrique","Le titulaire « met en œuvre et intervient sur les installations électriques et sur les réseaux de communication des domaines de la production, du transport, de la distribution ».","production, transport, distribution, transformation de l'énergie électrique, smartgrid","M060","M065","Arrêté du 8-1-2024 — référentiel de certification Bac Pro MELEC ; citation : « met en œuvre et intervient sur les installations électriques et sur les réseaux de communication des domaines de la production, du transport, de la distribution »","","officiel-integral","BACPRO","Niveau_maitrise : le référentiel utilise une échelle 1 (information) / 2 (compréhension) / 3 (application) par connaissance (11-bac-pro-melec.md), mais les indices n'ont pas été extraits ; à renseigner depuis le référentiel."
"M065","FAM13","Voie professionnelle","Bac Pro MELEC","Connaissances associées — « Chaîne d'énergie » : architecture des réseaux","Architecture des réseaux de distribution","Architecture des réseaux de distribution électrique (national/européen), pertes, rendement","Identifier l'organisation du réseau de distribution électrique et les pertes (rendement).","réseau de distribution, rendement, pertes","M064","","Arrêté du 8-1-2024 — référentiel de certification Bac Pro MELEC","","officiel-integral","BACPRO","Niveau_maitrise : le référentiel utilise une échelle 1 (information) / 2 (compréhension) / 3 (application) par connaissance (11-bac-pro-melec.md), mais les indices n'ont pas été extraits ; à renseigner depuis le référentiel."
"M066","FAM04","Voie professionnelle","Bac Pro MELEC","Connaissances associées — « Chaîne d'énergie » : sources","Moyens de production d'électricité","Moyens de production centralisés et locaux d'électricité (catégories de centrales)","Identifier les moyens de production et décrire leur principe de fonctionnement ; expliquer les caractéristiques d'entrées/sorties des moyens locaux.","centrale électrique, production centralisée/décentralisée","M063","M068","Arrêté du 8-1-2024 — référentiel de certification Bac Pro MELEC","","officiel-integral","BACPRO","Niveau_maitrise : le référentiel utilise une échelle 1 (information) / 2 (compréhension) / 3 (application) par connaissance (11-bac-pro-melec.md), mais les indices n'ont pas été extraits ; à renseigner depuis le référentiel."
"M067","FAM18","Voie professionnelle","Bac Pro MELEC","Connaissances associées — « Chaîne d'énergie » : protection et commande","Protection des personnes et des biens","Schéma de liaison à la terre, matériels de protection des personnes et des biens, matériels de commande (pré-actionneurs)","Déterminer les protections et les matériels de commande pour une opération simple.","schéma de liaison à la terre, pré-actionneur, protection des personnes","","","Arrêté du 8-1-2024 — référentiel de certification Bac Pro MELEC","","officiel-integral","BACPRO","Niveau_maitrise : le référentiel utilise une échelle 1 (information) / 2 (compréhension) / 3 (application) par connaissance (11-bac-pro-melec.md), mais les indices n'ont pas été extraits ; à renseigner depuis le référentiel."
"M068","FAM04","Voie professionnelle","Bac Pro MELEC","Connaissances associées — « Chaîne d'énergie » : fonctions d'usage","Conversion et modulation de l'énergie électrique","Conversion/modulation de l'énergie électrique : transformateurs, modulateurs (variateurs), machines électromagnétiques, éclairage, chauffage, ventilation","Expliquer les principes, leur mise en œuvre, leur impact sur l'installation (pollution, compatibilité électromagnétique).","transformateur, variateur, machine électromagnétique, compatibilité électromagnétique","M066","","Arrêté du 8-1-2024 — référentiel de certification Bac Pro MELEC","","officiel-integral","BACPRO","Niveau_maitrise : le référentiel utilise une échelle 1 (information) / 2 (compréhension) / 3 (application) par connaissance (11-bac-pro-melec.md), mais les indices n'ont pas été extraits ; à renseigner depuis le référentiel."
"M069","FAM15","Voie professionnelle","Bac Pro MELEC","Connaissances associées — « Chaîne d'information »","Réseaux VDI et bus de données","Réseaux Voix-Données-Images (VDI), bus de données, réseaux filaires et sans fil","Reconnaître la nature et l'organisation du réseau d'information.","VDI, bus de données","M059 ; M044","","Arrêté du 8-1-2024 — référentiel de certification Bac Pro MELEC","","officiel-integral","BACPRO","Niveau_maitrise : le référentiel utilise une échelle 1 (information) / 2 (compréhension) / 3 (application) par connaissance (11-bac-pro-melec.md), mais les indices n'ont pas été extraits ; à renseigner depuis le référentiel."
"M070","FAM12","Voie professionnelle","Bac Pro MELEC","Connaissances associées — « Chaîne d'information »","Automatismes et asservissement","Automatismes du bâtiment et industriels ; types de commande (tout ou rien, régulation, asservissement)","Identifier les types de commande (tout ou rien, régulation, asservissement).","automatisme, régulation, asservissement","M047","","Arrêté du 8-1-2024 — référentiel de certification Bac Pro MELEC","","officiel-integral","BACPRO","Niveau_maitrise : le référentiel utilise une échelle 1 (information) / 2 (compréhension) / 3 (application) par connaissance (11-bac-pro-melec.md), mais les indices n'ont pas été extraits ; à renseigner depuis le référentiel."
"M071","FAM05","Voie professionnelle","Bac Pro MELEC","Connaissances associées — « Chaîne d'information » : acquisition","Capteurs et détecteurs","Capteurs, détecteurs","Reconnaître les matériels et fonctions ; déterminer les matériels d'une installation simple.","capteur, détecteur","M057 ; M037","","Arrêté du 8-1-2024 — référentiel de certification Bac Pro MELEC","","officiel-integral","BACPRO","Niveau_maitrise : le référentiel utilise une échelle 1 (information) / 2 (compréhension) / 3 (application) par connaissance (11-bac-pro-melec.md), mais les indices n'ont pas été extraits ; à renseigner depuis le référentiel."
"M072","FAM02","Voie professionnelle","Bac Pro MELEC","Connaissances associées — « Grandeurs électriques, mécaniques, dimensionnelles »","Grandeurs électriques en régime établi","Lois et grandeurs électriques en régime établi (continu, monophasé, triphasé), mesure des grandeurs électriques","Déterminer et interpréter les grandeurs caractéristiques (courant, tension, puissance, énergie, fréquence…) ; calculer des grandeurs électriques.","courant, tension, puissance, fréquence, régime continu/monophasé/triphasé","M062","","Arrêté du 8-1-2024 — référentiel de certification Bac Pro MELEC","","officiel-integral","BACPRO","Niveau_maitrise : le référentiel utilise une échelle 1 (information) / 2 (compréhension) / 3 (application) par connaissance (11-bac-pro-melec.md), mais les indices n'ont pas été extraits ; à renseigner depuis le référentiel."
